PrimaryKey;Id;Name;Latitude;Longitude;Altitude;Roll;Pitch;Yaw;RxTxType;AntennaType;Gain;CenterFrequency;Bandwith;SignalToNoiseRatio;XPos;YPos;ZPos;StartTime;Remark
5a9df18c-ddbb-44e1-a475-551abbc486ba;86;Transmitter #1;49,7560580863058;6,6442662358445;0;0;0;0;IdealSDR;Unknown;0;103;24;0;0;0;0;0;Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
0cb19163-f3cb-41d3-a2e5-361534beda41;-275;Transmitter #2;49,7844890132119;6,6605899706487;0;0;0;0;TwinRx;Unknown;0;89;66;0;0;0;0;0;The quick brown fox jumps over a lazy dog.
b10282c9-9673-4098-b153-c62c64374000;629;Transmitter #3;49,774056297074;6,63550767799644;0;0;0;0;TwinRx;Unknown;0;90;59;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
edd299ef-cdb3-4ab0-a497-180775c04657;849;Transmitter #4;49,7844303237545;6,65183046445815;0;0;0;0;HackRF;OmniDirectional;0;88;65;0;0;0;0;0;Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
ff3bd30f-3b2c-496d-a12a-90dbba4e6a7b;-268;Transmitter #5;49,7569268755758;6,61959933846253;0;0;0;0;IdealSDR;Unknown;0;88;20;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
b6a15736-ebd3-43bf-aeb8-2ab697172b0c;-213;Transmitter #6;49,7899046688404;6,62729491259325;0;0;0;0;IdealSDR;Unknown;0;87;72;0;0;0;0;0;Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
58eb0a2f-8563-4035-8f3b-9eab3bc0ca50;492;Transmitter #7;49,7631185723408;6,63780626150691;0;0;0;0;HackRF;OmniDirectional;0;90;11;0;0;0;0;0;The quick brown fox jumps over a lazy dog.
0f99f219-38d4-4699-9fec-03d55f57de31;19;Transmitter #8;49,7837410099141;6,62203617885818;0;0;0;0;IdealSDR;OmniDirectional;0;103;65;0;0;0;0;0;Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
78af39aa-06c7-45d1-8df3-b05efcf1727f;973;Transmitter #9;49,7793805708658;6,62626998520762;0;0;0;0;HackRF;OmniDirectional;0;98;63;0;0;0;0;0;Vom Ödipuskomplex maßlos gequält, übt Wilfried zyklisches Jodeln.
c48ca0e5-3e2a-442a-b184-87c47823d30f;-153;Transmitter #10;49,766596235214;6,63183046233474;0;0;0;0;Unknown;OmniDirectional;0;98;18;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
